territory,price,price_point_id
THA,1490.0,eyJzIjoiNjc5Nzc1MDc1NyIsInQiOiJUSEEiLCJwIjoiMTAzMDAifQ
TJK,39.99,eyJzIjoiNjc5Nzc1MDc1NyIsInQiOiJUSksiLCJwIjoiMTAyNzcifQ
TKM,39.99,eyJzIjoiNjc5Nzc1MDc1NyIsInQiOiJUS00iLCJwIjoiMTAyNzcifQ
TON,39.99,eyJzIjoiNjc5Nzc1MDc1NyIsInQiOiJUT04iLCJwIjoiMTAyNzcifQ
TTO,39.99,eyJzIjoiNjc5Nzc1MDc1NyIsInQiOiJUVE8iLCJwIjoiMTAyNzcifQ
TUN,39.99,eyJzIjoiNjc5Nzc1MDc1NyIsInQiOiJUVU4iLCJwIjoiMTAyNzcifQ
TUR,1999.99,eyJzIjoiNjc5Nzc1MDc1NyIsInQiOiJUVVIiLCJwIjoiMTA1NDYifQ
TWN,1290,eyJzIjoiNjc5Nzc1MDc1NyIsInQiOiJUV04iLCJwIjoiMTAyMjkifQ
TZA,99900.0,eyJzIjoiNjc5Nzc1MDc1NyIsInQiOiJUWkEiLCJwIjoiMTAzMTUifQ
UGA,49.99,eyJzIjoiNjc5Nzc1MDc1NyIsInQiOiJVR0EiLCJwIjoiMTAzMjcifQ
UKR,49.99,eyJzIjoiNjc5Nzc1MDc1NyIsInQiOiJVS1IiLCJwIjoiMTAzMjcifQ
URY,39.99,eyJzIjoiNjc5Nzc1MDc1NyIsInQiOiJVUlkiLCJwIjoiMTAyNzcifQ
USA,39.99,eyJzIjoiNjc5Nzc1MDc1NyIsInQiOiJVU0EiLCJwIjoiMTAyNzcifQ
UZB,39.99,eyJzIjoiNjc5Nzc1MDc1NyIsInQiOiJVWkIiLCJwIjoiMTAyNzcifQ
VCT,39.99,eyJzIjoiNjc5Nzc1MDc1NyIsInQiOiJWQ1QiLCJwIjoiMTAyNzcifQ
VEN,39.99,eyJzIjoiNjc5Nzc1MDc1NyIsInQiOiJWRU4iLCJwIjoiMTAyNzcifQ
VGB,39.99,eyJzIjoiNjc5Nzc1MDc1NyIsInQiOiJWR0IiLCJwIjoiMTAyNzcifQ
VNM,1199000,eyJzIjoiNjc5Nzc1MDc1NyIsInQiOiJWTk0iLCJwIjoiMTAzOTAifQ
VUT,39.99,eyJzIjoiNjc5Nzc1MDc1NyIsInQiOiJWVVQiLCJwIjoiMTAyNzcifQ
XKS,44.99,eyJzIjoiNjc5Nzc1MDc1NyIsInQiOiJYS1MiLCJwIjoiMTAzMDIifQ
YEM,39.99,eyJzIjoiNjc5Nzc1MDc1NyIsInQiOiJZRU0iLCJwIjoiMTAyNzcifQ
ZAF,799.99,eyJzIjoiNjc5Nzc1MDc1NyIsInQiOiJaQUYiLCJwIjoiMTAzMjAifQ
ZMB,49.99,eyJzIjoiNjc5Nzc1MDc1NyIsInQiOiJaTUIiLCJwIjoiMTAzMjcifQ
ZWE,49.99,eyJzIjoiNjc5Nzc1MDc1NyIsInQiOiJaV0UiLCJwIjoiMTAzMjcifQ
