territory,price,price_point_id
PHL,399.0,eyJzIjoiNjc5NzEwNjQyMCIsInQiOiJQSEwiLCJwIjoiMTAxMTkifQ
PLW,5.99,eyJzIjoiNjc5NzEwNjQyMCIsInQiOiJQTFciLCJwIjoiMTAwNzUifQ
PNG,5.99,eyJzIjoiNjc5NzEwNjQyMCIsInQiOiJQTkciLCJwIjoiMTAwNzUifQ
POL,29.99,eyJzIjoiNjc5NzEwNjQyMCIsInQiOiJQT0wiLCJwIjoiMTAwOTEifQ
PRT,6.99,eyJzIjoiNjc5NzEwNjQyMCIsInQiOiJQUlQiLCJwIjoiMTAwODgifQ
PRY,5.99,eyJzIjoiNjc5NzEwNjQyMCIsInQiOiJQUlkiLCJwIjoiMTAwNzUifQ
QAT,19.99,eyJzIjoiNjc5NzEwNjQyMCIsInQiOiJRQVQiLCJwIjoiMTAwNjYifQ
ROU,29.99,eyJzIjoiNjc5NzEwNjQyMCIsInQiOiJST1UiLCJwIjoiMTAwOTEifQ
RUS,499.0,eyJzIjoiNjc5NzEwNjQyMCIsInQiOiJSVVMiLCJwIjoiMTAxNDYifQ
RWA,5.99,eyJzIjoiNjc5NzEwNjQyMCIsInQiOiJSV0EiLCJwIjoiMTAwNzUifQ
SAU,24.99,eyJzIjoiNjc5NzEwNjQyMCIsInQiOiJTQVUiLCJwIjoiMTAwODMifQ
SEN,6.99,eyJzIjoiNjc5NzEwNjQyMCIsInQiOiJTRU4iLCJwIjoiMTAwODgifQ
SGP,8.98,eyJzIjoiNjc5NzEwNjQyMCIsInQiOiJTR1AiLCJwIjoiMTAxMjAifQ
SLB,5.99,eyJzIjoiNjc5NzEwNjQyMCIsInQiOiJTTEIiLCJwIjoiMTAwNzUifQ
SLE,5.99,eyJzIjoiNjc5NzEwNjQyMCIsInQiOiJTTEUiLCJwIjoiMTAwNzUifQ
SLV,5.99,eyJzIjoiNjc5NzEwNjQyMCIsInQiOiJTTFYiLCJwIjoiMTAwNzUifQ
SRB,6.99,eyJzIjoiNjc5NzEwNjQyMCIsInQiOiJTUkIiLCJwIjoiMTAwODgifQ
STP,5.99,eyJzIjoiNjc5NzEwNjQyMCIsInQiOiJTVFAiLCJwIjoiMTAwNzUifQ
SUR,6.99,eyJzIjoiNjc5NzEwNjQyMCIsInQiOiJTVVIiLCJwIjoiMTAwODgifQ
SVK,6.99,eyJzIjoiNjc5NzEwNjQyMCIsInQiOiJTVksiLCJwIjoiMTAwODgifQ
SVN,6.99,eyJzIjoiNjc5NzEwNjQyMCIsInQiOiJTVk4iLCJwIjoiMTAwODgifQ
SWE,79.0,eyJzIjoiNjc5NzEwNjQyMCIsInQiOiJTV0UiLCJwIjoiMTAwNzcifQ
SWZ,5.99,eyJzIjoiNjc5NzEwNjQyMCIsInQiOiJTV1oiLCJwIjoiMTAwNzUifQ
SYC,5.99,eyJzIjoiNjc5NzEwNjQyMCIsInQiOiJTWUMiLCJwIjoiMTAwNzUifQ
TCA,5.99,eyJzIjoiNjc5NzEwNjQyMCIsInQiOiJUQ0EiLCJwIjoiMTAwNzUifQ
