territory,price,price_point_id
UKR,4.99,eyJzIjoiNjgwNDcxMTMyMCIsInQiOiJVS1IiLCJwIjoiMTAwNjIifQ
URY,3.99,eyJzIjoiNjgwNDcxMTMyMCIsInQiOiJVUlkiLCJwIjoiMTAwNDkifQ
USA,3.99,eyJzIjoiNjgwNDcxMTMyMCIsInQiOiJVU0EiLCJwIjoiMTAwNDkifQ
UZB,3.99,eyJzIjoiNjgwNDcxMTMyMCIsInQiOiJVWkIiLCJwIjoiMTAwNDkifQ
VCT,3.99,eyJzIjoiNjgwNDcxMTMyMCIsInQiOiJWQ1QiLCJwIjoiMTAwNDkifQ
VEN,3.99,eyJzIjoiNjgwNDcxMTMyMCIsInQiOiJWRU4iLCJwIjoiMTAwNDkifQ
VGB,3.99,eyJzIjoiNjgwNDcxMTMyMCIsInQiOiJWR0IiLCJwIjoiMTAwNDkifQ
VNM,119000,eyJzIjoiNjgwNDcxMTMyMCIsInQiOiJWTk0iLCJwIjoiMTAxMTUifQ
VUT,3.99,eyJzIjoiNjgwNDcxMTMyMCIsInQiOiJWVVQiLCJwIjoiMTAwNDkifQ
XKS,3.99,eyJzIjoiNjgwNDcxMTMyMCIsInQiOiJYS1MiLCJwIjoiMTAwNDkifQ
YEM,3.99,eyJzIjoiNjgwNDcxMTMyMCIsInQiOiJZRU0iLCJwIjoiMTAwNDkifQ
ZAF,79.99,eyJzIjoiNjgwNDcxMTMyMCIsInQiOiJaQUYiLCJwIjoiMTAxMDAifQ
ZMB,4.99,eyJzIjoiNjgwNDcxMTMyMCIsInQiOiJaTUIiLCJwIjoiMTAwNjIifQ
ZWE,4.99,eyJzIjoiNjgwNDcxMTMyMCIsInQiOiJaV0UiLCJwIjoiMTAwNjIifQ
